a j ē v a ṇ ī	Sanskrit-derived
a j h u i m	Sanskrit-derived
a ṭ a k a	
a ṭ a k a	
a ṭ a ṇ ē	
a ṭ a n a	Sanskrit-derived
a ṭ a v ī	Sanskrit
a ṭ ā	
a ṭ ā ṭ ā	
a ṭ ī	
a ṭ ē ṭ a	
a ṭ ē ṭ ā	
a ṭ ō p a ṇ ē	Sanskrit-derived
a ṭ h a r ā	Sanskrit-derived
a ṭ h a v a r a	
a ṭ h a v a r a p a ṇ a	
a ṭ h a s a ṭ i	Sanskrit-derived
a ṭ h i	Sanskrit-derived
a ṭ h u l ā	
a ṭ h ē t ā ḷ ī s a	
a ḍ a	Sanskrit-derived
a ḍ a u	Kannada
a ḍ a c a ṇ ē	Kannada
a ḍ a ṇ ī	Kannada
a ḍ a ṇ ē	Kannada
a ḍ a t h a	
a ḍ a d a r a	Kannada
a ḍ a d a r a ṇ ē	Kannada
a ḍ a n ī	Kannada
a ḍ a l a	
a ḍ a l ā	Kannada
a ḍ a l ā u	
a ḍ a v a	Kannada
a ḍ a v a	Kannada
a ḍ a v a	Sanskrit-derived
a ḍ a v a t ā v a	Kannada
a ḍ a v ī	Sanskrit-derived
a ḍ a v ō l ā	Kannada
a ḍ a s a ṇ ē	
a ḍ ā a ḍ ī	Kannada
a ḍ i n ā ṃ v a	Sanskrit-derived
a ḍ ī	
a ḍ u k h u ḷ a ṇ ē	Sanskrit-derived
a ḍ ō r a	Sanskrit-derived
a ḍ h a ñ c a	
a ḍ h a ḷ a	
a ḍ h a ḷ a p a d a	Sanskrit-derived
a ḍ h ā u	
a ḍ h a i c a	Sanskrit-derived
a ḍ h a i c a s ē m	Sanskrit-derived
a ḍ h a i s ē r ī	Sanskrit-derived,Deshiya
a ṇ a	Sanskrit-derived
a ṇ a g a ṭ a	Sanskrit-derived
a ṇ a ṇ u	Sanskrit-derived
a ṇ a ṇ ē	Sanskrit-derived
a ṇ a v a	Sanskrit-derived
a ṇ i k a	Sanskrit-derived
a ṇ i m ā	Sanskrit-derived
a ṇ ī	Sanskrit-derived
a ṇ u ā r a	Sanskrit-derived
a ṇ u m ā ṇ ī	Sanskrit-derived
a ṇ u s a ṭ a	Sanskrit-derived
a ṇ ē k a ḷ i t a	Sanskrit-derived
a ṇ ṇ ō v i n n a	Sanskrit-derived
a n t a	Sanskrit-derived
a n t a	Sanskrit-derived
a n t a : k a r a ṇ a	Sanskrit-derived
a n t a j a	Sanskrit-derived
a n t a p ā r a	Sanskrit
a n t a r a	Sanskrit
a n t a r a	Sanskrit-derived
a n t a r a ṅ g a	Sanskrit
a n t a r a g ā m ī y ē m	Sanskrit-derived
