अकलंकित	Sanskrit
अकलंकी	Sanskrit
अकल-	Native
अकल्पनीय	Sanskrit
अकल्पित	Sanskrit
अकल्याण	Sanskrit
अक़वाम	Perso-Arabic
अकसर	Perso-Arabic
अकसरियत	Perso-Arabic
अकसीर	Perso-Arabic
अकस्मात्	Sanskrit
अकाज	Native
अकाजी	Native
अकाट्य	
अकादमी	English
अकाम	Sanskrit
अकामता	Sanskrit
अकामी	Sanskrit
अकार	Native,Perso-Arabic
अकारण	Sanskrit
अकारत	
अकारथ	Perso-Arabic,Semi-native
अकाल	Sanskrit
अकासनीम	
अकिंचन	Sanskrit
अक़ीक़	Perso-Arabic
अक़ीदत	Perso-Arabic
अक़ीदा	Perso-Arabic
अकीर्ति	Sanskrit
अकुंठ	Sanskrit
अकुल	Sanskrit
अकुलाना	Native
अकुलाहट	Native
अकुली	Sanskrit
अकुलीन	Sanskrit
अकुशल	Sanskrit
अकृत	Sanskrit
अकृतकार्य	Sanskrit
अकृतज्ञ	Sanskrit
अकृतज्ञता	Sanskrit
अकृतार्थ	Sanskrit
अकृती	Sanskrit
अकृत्य	Sanskrit
अकृत्रिम	Sanskrit
अकेला	
अकेलापन	Native
अकोर	
अकोर	Native
अकोल	Native
अकौड़ा	
-अक्कड़	
अक़्क़ल-बार	
अक्खड़	
अक्खड़पन	Native
अक्खंड़पना	
अक्खाह	
अक्तूबर	English,Portuguese
अक्रूर	Sanskrit
अक़्ल	Perso-Arabic
अक़्ली	Perso-Arabic
अक्ष	Sanskrit
अक्षत	Sanskrit
अक्षम	Sanskrit
अक्षमता	Sanskrit
अक्षय	Sanskrit
अक्षयता	Sanskrit
अक्षय्य	Sanskrit
अक्षर	Sanskrit
अक्षरी	Native
अक्षरी	Native
अक्षरौटी	Semi-native
अक्षि	Sanskrit
अक्षीय	Sanskrit
अक्षुण्ण	Sanskrit
अक्षेम	Sanskrit
अक्षोनि	Semi-native
अक्षोहिणी	Semi-native
अक्स	Perso-Arabic
अक्सर	
अखंड	Sanskrit
अखंडता	Sanskrit
अखंडनीय	Sanskrit
अखंडित	Sanskrit
अखंड्य	Sanskrit
अखज	
अखड़ाना	Native
अखड़ैत	
अख़नी	Perso-Arabic
अख़बार	Perso-Arabic
अख़बारी	Native
अखय	
अखरना	
अखरोट	
अख़रोट	
अख़लाक़	Perso-Arabic
अखाड़ा	Native
अखड़िया	Native
अखाद्य	Sanskrit
अखिल	Sanskrit
अख़ीर	Perso-Arabic
अख़्तियार	Perso-Arabic
अख्यात	Sanskrit
अख्याति	Sanskrit
अग	Sanskrit
अगड़धत्त	
अगड़-बगड़	
अगड़म-बगड़म	
अगणनीय	Sanskrit
अगणित	Sanskrit
अगण्य	Sanskrit
अगत	Semi-native
अगति	Sanskrit
अगतिक	Sanskrit
अगती	Native
अगत्तर	
अगन	
अगम	
अगम	
अगम्य	Sanskrit
अगर	Dravidian
अगर	Perso-Arabic
अगरचे	Perso-Arabic
अग़ल-बग़ल	Native
अगला	Native
अगवाई	
अगवाड़ा	Native
अगवान	
अगवान	
अगवानी	
अगवानी	
अगवार	
अगस्त	English,Portuguese
अगस्ति	
अगस्त्य	Sanskrit
अगहन	Native
अगहनिया	Native
अगहनी	Native
अगाऊ	Native
अगाड़ी	Native
अगाध	Sanskrit
अगाधता	Sanskrit
अगास	
आगासी	Native
आगिया	Native
अगियाना	Native
अगियारी	Native
अगुआ	Native
अगुआई	Native
अगुण	Sanskrit
अगुणी	Sanskrit
अगुवा	
अगूढ़	Sanskrit
अगोचर	Sanskrit
आगोट-	Native
अगोत्री	Sanskrit
अगोरा	Native
अगोरना	
अगौनी	Native
अगौर	
अग्ग्रास	Semi-native
अग्नि	Sanskrit
अग्र	Sanskrit
अग्रणी	Sanskrit
अग्रता	Sanskrit
अग्राह्य	Sanskrit
अग्रिम	Sanskrit
अघ	Sanskrit
अघट	Sanskrit
अघटित	Sanskrit
अघाई	Native
अघाई	Native
अघाना	Native
अघाना	Native
अघोर	Sanskrit
अघोरी	Sanskrit
अघोरीपन	Native
अघोरीपना	
अघोष	Sanskrit
अचंचल	Sanskrit
अचंड	Sanskrit
अचंभा	Native
अचंभित	Native
अच-	Native
अंचक	
अंचक	Native
अचक-	Native
अचकचाना	Native
अचकचाहट	Native
अचकन	
अचक्षु	Sanskrit
अचतुर	Sanskrit
अचपल	Sanskrit
अचपल	
अचपलता	
अचपला	Semi-native
अचपलापन	Native
अचपली	Native
अचर	Sanskrit
अचरज	Semi-native
अचरा	Native
अचल	Sanskrit
अचला	Sanskrit
अचव-	
अचवन	
अचवाना	Native
अचांचक	
अचाका	
अचानक	
अचाना	Native
अचार	Perso-Arabic
अचार	
अचिंत	Sanskrit
अचिंतनीय	Sanskrit
अचिंता	Sanskrit
अचिंतित	Sanskrit
अचिंत्य	Sanskrit
अचिकित्स्य	Sanskrit
अचिर	Sanskrit
अचीता	Native
अचूक	Native
अचेत	Sanskrit
अचेतन	Sanskrit
अचेतनता	Sanskrit
अचेतपना	Native
अचेष्ट	Sanskrit
अचैतन्य	Sanskrit
अचैन	Native
अचौन	
अच्छ	Semi-native
अच्छ	
अच्छत	Semi-native
अच्छर	Semi-native
अच्छरी	
अच्छा	
अच्छाई	Native
अच्छापन	Native
अच्युत	Sanskrit
अछ-	Native
अछत	Semi-native
अछताना-पछताना	Native
अछरी	
अछरौटी	
अछवानी	Native
अछूत	Native
अछूता	Native
अछेद	Semi-native
अछेव	Native
अछेह	Native
अंजट	English
अज	Sanskrit
अज़	Perso-Arabic
अज-	
अजगर	Sanskrit
अजगरी	Native
अजगव	Semi-native
अजगुत	Semi-native
अजदहा	Perso-Arabic
अजनबी	Perso-Arabic
अजनबीपन	Native
अजनबीयत	Perso-Arabic
अजन्म	Sanskrit
अजन्मा	Sanskrit
अजब	Perso-Arabic
अज़मत	Perso-Arabic
अजमूद	
अजमोद	
अजमोदा	
अजय	Sanskrit
अजर	Sanskrit
अजरायल	
अजल	Perso-Arabic
अजल	Sanskrit
अजवाइन	
अजवायन	Native
अजस्त्र	Sanskrit
अज़ा	Perso-Arabic
अजात	Sanskrit
अजात	Semi-native
अजाति	Sanskrit
अजाती	Semi-native
अजान	Native
अज़ान	Perso-Arabic
अजानपन	Native
अजाना	Native
अजानी	Native
अज़ाब	Perso-Arabic
अजायब	Perso-Arabic
प्रजार	
अजित	Sanskrit
अजिन	Sanskrit
अजिर	Sanskrit
अजी	
अज़ीज़	Perso-Arabic
अज़ीज़ी	Perso-Arabic
अजीत	Semi-native
अजीब	Perso-Arabic
अज़ीम	Perso-Arabic
अजीरन	Semi-native
अजीर्ण	Sanskrit
अजीव	Sanskrit
अजूठा	Native
अजूबा	Perso-Arabic
अजूरा	Perso-Arabic
अजोड़	Native
अजोत	Native
अजोत	Native
अजौरी	
अजौली	
अज्ञ	Sanskrit
अज्ञता	Sanskrit
अज्ञात	Sanskrit
अज्ञान	Sanskrit
अज्ञानता	Sanskrit
अज्ञानपन	
अज्ञानी	Sanskrit
अज्ञेय	Sanskrit
अटंबर	
अट-	Semi-native
अट-	Native
अटक	Native
अटकना	Native
अटकर	
अटकल	Native
अटकलना	
अटका	
अटका	
अटकाना	Native
अटकाव	Native
अटन	Sanskrit
अटना	
अटपट	
अटपटाँग	Native
अटपटा	
अटपटाना	
अटपटी	
अटम	
अटम-पटम	
अटल	Native
अटवाटी-खटवाटी	
अटवी	Sanskrit
अट-सट	
अटा	Native
अटाटूट	Native
अटाना	Native
अटारी	Native
अटाल	Native
अटाला	Native
अटिया	Native
अटूट	Native
अटेक	Native
अटेरन	Native
अटेरना	Native
अटोक	Native
अट्ट	Sanskrit
अट्ट-सट्ट	Native
अट्टहास	Sanskrit
अट्टा	Native
अट्टालिका	Sanskrit
अट्टी	Native
अट्ठा	Native
अट्ठाईस	Native
अट्ठानवे	Native
अट्ठावन	Native
अट्ठासी	Native
अठ-	
अठखेलपन	Native
अठखेलपना	
अठखेली	
अठन्नी	
अठल	
अठवारा	
अठहत्तर	Native
अठारह	Native
अठारहवाँ	Native
अठेल	Native
अठौड़ी	Native
अड़ँग-तड़ँग	
अड़ँग-बड़ँग	
अड़ंगा	Perso-Arabic
अड़	Native,Dravidian
अड़गोड़ा	Native
अड़चन	
अड़चल	
अड़ड़ाना	
अड़तालीस	Native
अड़तीस	Native
अड़ना	Native
अड़प-झड़प	Native
अड़बंगा	Native
अड़बंद	
अडर-उडर	Native
अड़वा	
अड़वाड़	
अडसट्टा	
अड़सठ	Native
अड़हाया	
अड़हुल	
अड़ा	Native,Dravidian
अड़ाड़	Native
अड़ाड़	Native,Dravidian
अड़ाना	Native
अड़ार	
अड़ार	
अड़ारी	
अडिग	Native
अड़ियल	Native
अड़ी	Native
अड़ुआ	
अड़ूसा	Native
अड़ैंच	
अडोल	Native
अड़ोस-पड़ोस	Native
अड़ोसी-पड़ोसी	Native
अढ़तिया	
अड्डा	Native,Dravidian
अढ़ाई	Native
अढाना	
अढ़िया	
अढ़ैया	Native
अढ़ौना	Native
अणि	Sanskrit
अणिमा	Sanskrit
अणु	Sanskrit
अणुक	Sanskrit
-अत	Perso-Arabic
अत-	
अतत्ताही	
