andh@kaar	20.24699	8.346658
andharr	9.73094	12.310717
andh@taa	18.757267	6.517684
andhlaa	9.007569	22.510174
andhaa	9.518356	9.594925
andhaapan	8.343546	6.8860626
andhiyaar	7.281345	8.345894
andhiyaaraa	5.6484337	10.0700245
andhiyaarii	6.7771225	9.48639
andhiyaalaa	5.973522	11.765467
andhiyaav	9.4920845	12.076313
andher	10.349749	8.492547
andheraa	7.444932	10.199253
andherii	9.583542	9.837245
andhOrii	9.17151	15.267314
amb	9.907051	5.3062353
ambak	8.108301	4.6075435
amb@tii	18.724846	5.0053744
ambar	6.484565	3.8611562
ambar	6.484565	3.8611562
ambar	6.484565	3.8611562
amb@raaii	14.247384	8.853736
ambarii	6.859456	5.183957
ambal	7.8120217	4.7439904
ambaa	7.9669	6.533277
ambaarraa	7.2640157	12.169418
ambaar	5.698961	4.5371103
ambaarii	5.5407925	5.604967
ambaalikaa	9.145954	9.002934
ambaasnaa	6.71955	9.252889
ambikaa	7.344686	6.724555
ambiyaa	4.7420435	6.42801
ambu	11.621676	7.532976
ambotii	11.003725	8.805266
amboh	10.795176	7.455638
ambh	13.564078	14.544303
ambhOrii	6.805516	18.76786
ansh	65.0746	9.906579
anshak	28.352638	6.134463
anshii	25.48457	9.610868
anshumaan	25.564167	7.563846
anshumaalii	25.743374	10.840698
ans	12.817236	11.194301
a-	20.479511	9.725569
auut	26.452763	24.875696
a-kanttak	12.79964	5.9329615
a-kampan	12.683021	6.061697
a-kampit	18.005083	7.024469
-ak	20.11208	16.514547
akaj-	6.66767	24.516323
akarr	5.2009034	25.42502
akarrnaa	4.5371003	28.568787
akrraanaa	3.6265094	20.871199
akrruu	8.583693	41.14672
akrrEt	12.820136	42.346684
aktii	9.147679	11.768261
a-kath	34.89793	8.069282
a-kath@niiy@	86.79708	6.0030313
a-kathit	30.728107	7.544242
a-kathy@	74.21539	6.9418755
akdhak	12.232618	15.683422
akan-	6.328537	11.9146
akbak	8.495986	11.542343
akbakaanaa	5.803187	17.650246
akabat	11.321399	9.323348
akbarii	7.0496492	12.885983
a-kar	15.017015	4.1886783
a-kar	15.017015	4.1886783
a-karan	10.494745	4.1416297
a-kar@niiy@	47.348824	4.3973966
akraa	6.3634768	11.707357
akraa	6.3634768	11.707357
akrii	6.6348352	11.173641
a-karm	18.768436	6.9295306
a-karmak	11.453135	6.267196
a-karmany@	30.830008	5.4583263
a-karmany@taa	25.59914	5.5375805
a-karmaa	13.171676	6.699038
a-karmii	11.655913	6.1492987
