aṇa	Sanskrit-derived
aṇagaṭa	Sanskrit-derived
aṇaṇu	Sanskrit-derived
aṇaṇē	Sanskrit-derived
aṇava	Sanskrit-derived
aṇika	Sanskrit-derived
aṇimā	Sanskrit-derived
aṇī	Sanskrit-derived
aṇuāra	Sanskrit-derived
aṇumāṇī	Sanskrit-derived
aṇusaṭa	Sanskrit-derived
aṇēkaḷita	Sanskrit-derived
aṇṇōvinna	Sanskrit-derived
anta	Sanskrit-derived
anta	Sanskrit-derived
anta:karaṇa	Sanskrit-derived
antaja	Sanskrit-derived
antapāra	Sanskrit
antara	Sanskrit
antara	Sanskrit-derived
antaraṅga	Sanskrit
antaragāmīyēm	Sanskrit-derived
antaraṇē	Sanskrit-derived
antarakṣa	Sanskrit-derived
antarāō	Sanskrit-derived
antarāya	Sanskrit
antarāḷa	Sanskrit-derived
antarākṣa	Sanskrit-derived
antaryāga	Sanskrit
antarvatti	Sanskrit-derived
atasī	Sanskrit
antāpura	Sanskrit-derived
atikāḷa	Sanskrit-derived
atikramaṇē	Sanskrit-derived
atikrānta	Sanskrit
aticāra	Sanskrit
aticēṣṭā	Sanskrit
atita	Sanskrit-derived
atiprasaṅga	Sanskrit
atibhāra	Sanskrit
atiyukti	Sanskrit-derived
atirasa	Sanskrit
ativāhika	Sanskrit-derived
atisēṃsīm	Sanskrit-derived
atisō	Sanskrit-derived
atikṣētṛ	Sanskrit-derived
atī	Sanskrit-derived
atīta	Sanskrit
atīta	Sanskrit-derived
atītva	Sanskrit-derived
atuṭa	Sanskrit-derived
atura	Sanskrit-derived
antura	Sanskrit-derived
anturanāyaka	Sanskrit-derived
aturapaṇa	Sanskrit-derived
aturabaḷī	Sanskrit-derived
anturī	Sanskrit-derived
atuḷabaḷī	Sanskrit-derived
antēja	Sanskrit-derived
atēlī	Sanskrit-derived
antōrī	
antaura	Sanskrit-derived
antaurī	Sanskrit-derived
antya	Sanskrit
atyantaṇē	Sanskrit-derived
atra	
antrapāṭa	Sanskrit-derived
antramāḷa	Sanskrit-derived
antrāḷa	Sanskrit-derived
antrākṣa	Sanskrit-derived
atha	Sanskrit
atharvaṇa	Sanskrit-derived
athavā	Sanskrit-derived
athāu	Sanskrit-derived
anthuraṇa	Sanskrit-derived
adaē	Sanskrit-derived
adaṭa	
adabhūta	Sanskrit-derived
adayē	Sanskrit-derived
adaḷapaṇa	
adātā	Sanskrit-derived
adīka	Sanskrit-derived
andu	Sanskrit-derived
adubhaṇī	Sanskrit-derived
aduhana	Sanskrit-derived
adṛṣṭa	Sanskrit-derived
adṛṣṭasēvā	Sanskrit
adṛṣṭārthī	Sanskrit-derived
adēkhaṇā	Sanskrit-derived
adēkhaṇēm	Sanskrit-derived
adēha	Sanskrit-derived
adbhuta	Sanskrit-derived
adyēha	Sanskrit-derived
adrakatvacā	Sanskrit-derived
adriṣṭa	Sanskrit-derived
adriṣṭārthīyā	Sanskrit-derived
advīta	Sanskrit-derived
adha	Sanskrit-derived
adha	Sanskrit-derived
andha	Sanskrit
andha	
adhaurdha	Sanskrit-derived
andhakūpa	Sanskrit-derived
andhatama	Sanskrit-derived
adhamati	Sanskrit-derived
adhamura	Sanskrit-derived
adharatī	Sanskrit-derived
adharaniryāsa	
adhasta	Sanskrit-derived
andhākāra	Sanskrit-derived
adhikatvēm	Sanskrit-derived
adhikaraṇa	Sanskrit
adhikaraṇē	Sanskrit-derived
adhikavṛtti	Sanskrit
adhikāō	Sanskrit-derived
adhikāra	Sanskrit
adhikāri	Sanskrit-derived
adhikāryā	Sanskrit-derived
adhikāryē	Sanskrit-derived
adhidaiva	Sanskrit
adhipāyatā	Sanskrit-derived
adhibhūta	Sanskrit
adhiyajña	Sanskrit
adhivāsa	Sanskrit
adhivikṣēpa	Sanskrit-derived
adhiṣṭā	Sanskrit-derived
adhiṣṭāna	Sanskrit-derived
adhiṣṭhaṇē	Sanskrit-derived
adhīka	Sanskrit-derived
adhīna	Sanskrit
adhōdhāra	Sanskrit-derived
adhōnīka	Sanskrit-derived
adhōpara	Sanskrit-derived
adhōyāri	Sanskrit-derived
adhōryu	Sanskrit-derived
adhyakṣa	Sanskrit
adhyāō	Sanskrit-derived
adhyātma	Sanskrit
adhyāsa	Sanskrit-derived
andhradēsa	Sanskrit-derived
adhrīta	Sanskrit-derived
adhvara	Sanskrit
adhvarī	Sanskrit-derived
ana	Sanskrit-derived
ana	Sanskrit-derived
anna	Sanskrit-derived
anaavasvara	Sanskrit-derived
annaāhāriyā	Sanskrit-derived
anakaḷita	Sanskrit-derived
anaṅgapaṇa	Sanskrit-derived
anaṅgamēcu	Sanskrit-derived
anaṅghā	Sanskrit-derived
ananta	Sanskrit
anantarēm	Sanskrit-derived
anantī	Sanskrit-derived
anadōḷaṇē	Sanskrit-derived
anana	Sanskrit-derived
ananya	Sanskrit
ananyapaṇa	Sanskrit-derived
annapāṇī	Sanskrit-derived
anabhau	Sanskrit-derived
anamārga	Sanskrit-derived
anamīkha	Sanskrit-derived
anamīta	Sanskrit-derived
anamīta	Sanskrit-derived
anamōdaṇē	Sanskrit-derived
anarasa	Sanskrit-derived
anargha	Sanskrit
anavasara	Sanskrit-derived
anaksarī	Sanskrit-derived
anavasvara	Sanskrit-derived
anavāṇī	Sanskrit-derived
anavāhāṇī	Sanskrit-derived
anavrata	Sanskrit-derived
anasārikha	Sanskrit-derived
anasuṭa	Sanskrit-derived
anasphūrti	Sanskrit-derived
anasyūta	Sanskrit-derived
anasyūtī	Sanskrit-derived
anahita	Sanskrit-derived
anācārya	Sanskrit-derived
anāṭhāya	Sanskrit-derived
anāḍhaḷa	Sanskrit-derived
anātmā	Sanskrit
anādasījha	
anādi	Sanskrit
anādisidha	Sanskrit-derived
anādhya	Sanskrit-derived
anāna	Sanskrit-derived
anābhyāsaka	Sanskrit-derived
anāmika	Sanskrit-derived
anārisa	Sanskrit-derived
anārisēmpaṇa	Sanskrit-derived
anārjita	Sanskrit-derived
anārta	Sanskrit-derived
anārttavanta	Sanskrit-derived
anāvaḍī	Sanskrit-derived
anāvara	Sanskrit-derived
anāhata	Sanskrit-derived
ani	Sanskrit-derived
aniēta	Sanskrit-derived
anika	Sanskrit-derived
animita	Sanskrit-derived
animittadānī	Sanskrit-derived
aniyāḷa	Sanskrit-derived
aniyāḷapaṇa	Sanskrit-derived
anirutā	Sanskrit-derived
anivāḍa	Sanskrit-derived
anivāra	Sanskrit-derived
aniṣṭatyāgīyā	Sanskrit-derived
anu	Sanskrit-derived
anukaraṇa	Sanskrit
anukaraṇē	Sanskrit-derived
anukarmēm	Sanskrit-derived
anukāra	Sanskrit
anukūḷa	Sanskrit-derived
anukhaṅgīta	Sanskrit-derived
anugata	Sanskrit
anugrahīta	Sanskrit-derived
anughāḍa	Sanskrit-derived
anughāḍī	Sanskrit-derived
anucaraṇē	Sanskrit-derived
anucīta	Sanskrit-derived
anujāya	Sanskrit-derived
anutara	Sanskrit-derived
anutāpaṇē	Sanskrit-derived
anupapattī	Sanskrit
anupāna	Sanskrit
anubhavaṇē	Sanskrit-derived
anubhavapantha	Sanskrit-derived
anubhavī	Sanskrit-derived
anubhau	Sanskrit-derived
anumata	Sanskrit-derived
anumānaṇē	Sanskrit-derived
anumōdaṇē	Sanskrit-derived
anuraṅgaṇē	Sanskrit-derived
anurvācya	Sanskrit-derived
anurvācyatā	Sanskrit-derived
anurvācyapaṇa	Sanskrit-derived
anulēpana	Sanskrit
anuvarjaṇē	Sanskrit-derived
anuvarjana	Sanskrit-derived
anuvartaviṇē	Sanskrit-derived
anuvāē	
anuvāda	Sanskrit
anuvādaṇē	Sanskrit-derived
anuvāya	
anuvṛttipantha	Sanskrit-derived
anuṣṭaṇē	Sanskrit-derived
anuṣṭubha	Sanskrit-derived
anuṣṭēm	Sanskrit-derived
anuṣṭhaṇē	Sanskrit-derived
anuṣṭhānī	Sanskrit-derived
anusaṅga	Sanskrit
anusandhāna	Sanskrit
anusara	Sanskrit-derived
anusaraṇa	Sanskrit
anusaraṇē	Sanskrit-derived
anusaralā	Sanskrit-derived
anusaraḷa	Sanskrit-derived
anusārā	Sanskrit-derived
anusō	Sanskrit-derived
anusōca	Sanskrit-derived
anusmaraṇa	Sanskrit
anuhāta	Sanskrit-derived
anṛtya	Sanskrit-derived
anēga	Sanskrit-derived
anētra	Sanskrit-derived
anēthājñāna	Sanskrit-derived
anōkhaḷī	
anōdaka	Sanskrit-derived
anōḷakha	
anōḷakhapaṇa	
anōḷakhī	
anōjñā	Sanskrit-derived
anautēm	Sanskrit-derived
annēga	Sanskrit-derived
anmīkha	Sanskrit-derived
anmītabandhu	Sanskrit-derived
anmōdaṇē	Sanskrit-derived
anyakathana	Sanskrit
anyathā	Sanskrit
anyathājñāna	Sanskrit-derived
anyathājñānī	Sanskrit-derived
anyadharma	Sanskrit
anyamārga	Sanskrit
anyavasē	Sanskrit-derived
anyavārtā	Sanskrit
anyavyāvṛtti	Sanskrit
anyasaṃstā	Sanskrit-derived
anyāō	Sanskrit-derived
anyākāra	Sanskrit-derived
anyāsēm	Sanskrit-derived
anyēga	Sanskrit-derived
anvaya	Sanskrit
anhavāṇī	Sanskrit-derived
apakāja	Sanskrit-derived
apakāra	Sanskrit
apakārī	Sanskrit-derived
apakhaḍī	Sanskrit-derived
apaṅgaṇē	Sanskrit-derived
apacārīēm	
apachandamatta	Sanskrit-derived
apajavaṇē	Sanskrit-derived
apaṭāntarīm	Sanskrit-derived
apaṭauḷa	
apatra	Sanskrit-derived
apada	Sanskrit-derived
apabhraṃśa	Sanskrit
apamānaṇē	Sanskrit-derived
apamurēm	Sanskrit-derived
apamṛtya	Sanskrit-derived
apayē	Sanskrit-derived
apara	Sanskrit
aparadharma	Sanskrit
aparapakṣa	Sanskrit
aparampāra	Sanskrit-derived
aparā	Sanskrit-derived
aparāmpara	Sanskrit-derived
aparitōkha	Sanskrit-derived
aparōkṣa	Sanskrit
aparōkṣa	
aparōkṣavidyā	Sanskrit
aparōkṣajñānīyā	Sanskrit-derived
apavarga	Sanskrit
apavāḍa	Sanskrit-derived
apavāda	Sanskrit-derived
apasaguṇa	Sanskrit-derived
apasmāra	Sanskrit
apakṣa	Sanskrit
apāō	Sanskrit-derived
apāṅga	Sanskrit
apāḍa	Sanskrit-derived,Kannada
apādaṇē	Sanskrit-derived
apāmpatī	Sanskrit
apāmparī	
apāyu	Sanskrit-derived
apāra	Sanskrit-derived
apārapaṇa	Sanskrit-derived
apāvō	Sanskrit-derived
apāhāraṇē	
apimāna	Sanskrit-derived
apimānaṇē	Sanskrit-derived
apīmāna	
apula	Sanskrit-derived
apusīm	
apūrva	Sanskrit
apēsa	Sanskrit-derived
apēkṣaṇē	Sanskrit-derived
apēkṣā	Sanskrit
apaitē	Sanskrit-derived
apracētā	
apratiṣṭha	Sanskrit
apratōkha	Sanskrit-derived
apramēya	Sanskrit
aprayōjaka	Sanskrit
aprasya	
aprāpti	Sanskrit
aprāśē	Sanskrit-derived
