a
a˚
aṃśa
aṃśakalpanā
aṃśaprakalpanā
aṃśapradāna
aṃśabhāgin
aṃśabhāj
aṃśabhūta
aṃśahara
aṃśin
aṃśu
aṃśuka
aṃśukānta
aṃśupaṭṭa
aṃśumat
aṃśumālin
aṃsa
aṃsakūṭa
aṃsatra
aṃsaphalaka
aṃsala
aṃsavartin
aṃhati
aṃhas
aṃhura
aṃhri
aka
akaṭuka
akaṇṭaka
akaṇṭha
akatthana
akatham
akathita
akadvada
akaniṣṭha
akanyā
akapilacchavi
akampita
akaraṇa
akaraṇa
akaruṇa
akarṇa
akarṇadhāra
akartavya
akartṛ
akarmaka
akarmakṛt
akarmaṇya
akarman
akarmaprāpti
akarmaśīla
akarmaśrānta
akalaṅka
akali
akalita
akaliprasara
akalkakalila
akalkatā
akalya
akalya
akava
akavi
akasmāt
akasmādāgantu
akāku
akāṇḍa
akātara
akāma
akāmatas
akāmatā
akāmin
akāra
akāraka
akāraṇa
akārpaṇya
akārya
akāryakaraṇa
akāryakārin
akāla
akālakusuma
akālakṣepam
akālacaryā
akālaniyama
akālavelā
akālasaha
akālahīnam
akiñcana
akiñcijjña
akiñcitkara
akilina
akīrtana
akīrtanīya
akīrti
akīrtita
akuñcita
akuṇṭhita
akuṭila
akutaścidbhaya
akutas
akutobhaya
akutracabhaya
akutsita
akudhryak
akula
akulaja
akulīna
akuśala
akusumita
akūṭa
akūpāra
akṛcchralaṅghya
akṛcchrin
akṛta
akṛtaka
akṛtakṛtya
akṛtajña
akṛtapuṇya
akṛtapūrva
akṛtabuddhi
akṛtalakṣaṇa
akṛtavidya
akṛtaśrama
akṛtasaṅkalpa
akṛtātman
akṛtārtha
akṛtya
akṛtrima
akṛtvā
akṛtsna
akṛtsnavid
akṛpa
akṛpaṇa
akṛśalakṣmī
akṛṣīvala
akṛṣṭa
akeśava
akaitava
akopitā
akauśala
akta
aktu
akna
akra
akra
akrata
akratu
akravyād
akriyamāṇa
akriyā
akriyāka
akrūra
akrodha
akliṣṭa
akliṣṭakāra
aklība
akledya
akleśa
akṣ
akṣa
akṣa
akṣa
akṣa
akṣajña
akṣaṇvat
akṣat
akṣata
akṣatakeśara
akṣatra
akṣadyūta
akṣan
akṣan
akṣanaipuṇa
akṣapaṭala
akṣapriya
akṣabhūmi
akṣama
akṣamada
akṣamā
akṣamātra
akṣamālā
akṣamālikā
akṣamin
akṣaya
akṣayya
akṣayya
akṣara
akṣavatī
akṣānti
akṣāralavaṇa
akṣālita
akṣāvalī
akṣi
akṣikūṭa
akṣigata
akṣita
akṣipat
akṣī
akṣīṇa
akṣīyamāṇa
akṣuṇa
akṣudra
akṣetra
akṣetratara
akṣetrin
akṣoḍa
akṣodhuka
akṣobhya
akṣauhiṇī
akṣṇayā
akhañja
akhaṇḍa
akhaṇḍita
akhaṇḍitājña
akharva
akhinna
akhila
akheda
akhkhala
aga
agaṇayat
agaṇitapratiyāta
agaṇeya
agaṇya
agati
agatika
agada
agadita
agan
agandha
agama
agamya
agamyarūpa
agamyāgamana
agarva
agarhita
agasti
agastya
agasmahi
agāgra
agātmajā
agādha
agādharudhira
agāra
agāradāhin
aguṇa
aguṇajña
aguṇin
aguṇībhūta
agupta
aguru
aguruprayukta
agurusāra
agṛdhnu
agṛhīta
agṛhlat
agṛhya
agocara
agopā
agopāla
agorudha
agohya
agnāyī
agni
agnikaṇa
agnikarman
agnikārya
agnikuṇḍa
agniketu
agnikriyā
agnigarbha
agnigṛha
agnitraya
agnidūta
agnidh
agnipakva
agnibhu
agnimindha
agnimukha
agniśikha
agniśuddhi
agniṣṭut
agnisaṃskāra
agnisātkṛ
agnisvāmin
agnihotra
agnihotra
agnihotrahavaṇī
agnihotrin
agnīndra
agnīndhana
agnīṣoma
agnīṣomabhūta
agnīṣomīya
